original_name,german_translation,meaning
Sphere Space Civic Playbook,Sphärenraum Civic Playbook,"Ein Name, der auf 'Civic Playbook' im Sphärenraum hinweist."
Sphere Space Deep Protocols,Sphärenraum Tiefe Protokolle,"Ein Name, der auf 'Tiefe Protokolle' im Sphärenraum hinweist."
Sphere Space Bright Charters,Sphärenraum Helle Chartas,"Ein Name, der auf 'Helle Chartas' im Sphärenraum hinweist."
Sphere Space Code Council,Sphärenraum Code Council,"Ein Name, der auf 'Code Council' im Sphärenraum hinweist."
Sphere Space Golden Cooperatives,Sphärenraum Goldene Genossenschaften,"Ein Name, der auf 'Goldene Genossenschaften' im Sphärenraum hinweist."
Sphere Space Timeless City,Sphärenraum Zeitlose Stadt,"Ein Name, der auf 'Zeitlose Stadt' im Sphärenraum hinweist."
Sphere Space Civic Guilds,Sphärenraum Zivilgilden,"Ein Name, der auf 'Zivilgilden' im Sphärenraum hinweist."
Sphere Space Conservatory Council,Sphärenraum Konservatoriumsrat,"Ein Name, der auf 'Konservatoriumsrat' im Sphärenraum hinweist."
Sphere Space United Clusters,Sphärenraum United Cluster,"Ein Name, der auf 'United Cluster' im Sphärenraum hinweist."
Sphere Space Earthborn Sancta,Sphärenraum Earthborn Sanfta,"Ein Name, der auf 'Earthborn Sanfta' im Sphärenraum hinweist."
Sphere Space Humane Endowment,Sphärenraum Humane Stiftung,"Ein Name, der auf 'Humane Stiftung' im Sphärenraum hinweist."
Sphere Space True Labs,Sphärenraum Wahre Labors,"Ein Name, der auf 'Wahre Labors' im Sphärenraum hinweist."
Sphere Space Blue Shore,Sphärenraum Blaues Ufer,"Ein Name, der auf 'Blaues Ufer' im Sphärenraum hinweist."
Sphere Space Plaza Network,Sphärenraum Plaza -Netzwerk,"Ein Name, der auf 'Plaza -Netzwerk' im Sphärenraum hinweist."
Sphere Space Living Signals,Sphärenraum Lebende Signale,"Ein Name, der auf 'Lebende Signale' im Sphärenraum hinweist."
Sphere Space Grid Council,Sphärenraum Grid Council,"Ein Name, der auf 'Grid Council' im Sphärenraum hinweist."
Sphere Space Outpost Network,Sphärenraum Außenposten -Netzwerk,"Ein Name, der auf 'Außenposten -Netzwerk' im Sphärenraum hinweist."
Sphere Space Lasting Lighthouses,Sphärenraum Dauerhafte Leuchttürme,"Ein Name, der auf 'Dauerhafte Leuchttürme' im Sphärenraum hinweist."
Sphere Space Timeless Village,Sphärenraum Zeitloses Dorf,"Ein Name, der auf 'Zeitloses Dorf' im Sphärenraum hinweist."
Sphere Space True Ledger,Sphärenraum Wahres Ledger,"Ein Name, der auf 'Wahres Ledger' im Sphärenraum hinweist."
Sphere Space Lasting Greens,Sphärenraum Dauerhafte Grüns,"Ein Name, der auf 'Dauerhafte Grüns' im Sphärenraum hinweist."
Sphere Space Human Forums,Sphärenraum Menschliche Foren,"Ein Name, der auf 'Menschliche Foren' im Sphärenraum hinweist."
Sphere Space Civil Conservatory,Sphärenraum Ziviler Konservatorium,"Ein Name, der auf 'Ziviler Konservatorium' im Sphärenraum hinweist."
Sphere Space Golden Nodes,Sphärenraum Goldene Knoten,"Ein Name, der auf 'Goldene Knoten' im Sphärenraum hinweist."
Sphere Space Steady Frontiers,Sphärenraum Stetige Grenzen,"Ein Name, der auf 'Stetige Grenzen' im Sphärenraum hinweist."
Sphere Space Common Arch,Sphärenraum Gemeinsamer Bogen,"Ein Name, der auf 'Gemeinsamer Bogen' im Sphärenraum hinweist."
Sphere Space Interorbital Nexus,Sphärenraum Interorbitaler Nexus,"Ein Name, der auf 'Interorbitaler Nexus' im Sphärenraum hinweist."
Sphere Space Opera Foundation,Sphärenraum Opera Foundation,"Ein Name, der auf 'Opera Foundation' im Sphärenraum hinweist."
Sphere Space Perennial Forums,Sphärenraum Mehrjährige Foren,"Ein Name, der auf 'Mehrjährige Foren' im Sphärenraum hinweist."
Sphere Space Steady Manifest,Sphärenraum Stetig manifest,"Ein Name, der auf 'Stetig manifest' im Sphärenraum hinweist."
Sphere Space Terran District,Sphärenraum Terraner Bezirk,"Ein Name, der auf 'Terraner Bezirk' im Sphärenraum hinweist."
Sphere Space Frontiers Standards,Sphärenraum Grenzen Standards,"Ein Name, der auf 'Grenzen Standards' im Sphärenraum hinweist."
Sphere Space Plaza Council,Sphärenraum Plaza Council,"Ein Name, der auf 'Plaza Council' im Sphärenraum hinweist."
Sphere Space Basecamps Commons,Sphärenraum Basicamps Commons,"Ein Name, der auf 'Basicamps Commons' im Sphärenraum hinweist."
Sphere Space Public Venture,Sphärenraum Öffentliches Unternehmen,"Ein Name, der auf 'Öffentliches Unternehmen' im Sphärenraum hinweist."
Sphere Space Enduring Standards,Sphärenraum Dauerhafte Standards,"Ein Name, der auf 'Dauerhafte Standards' im Sphärenraum hinweist."
Sphere Space Green Arcade,Sphärenraum Grüne Arkade,"Ein Name, der auf 'Grüne Arkade' im Sphärenraum hinweist."
Sphere Space Civic Venture,Sphärenraum Bürgerliches Unternehmen,"Ein Name, der auf 'Bürgerliches Unternehmen' im Sphärenraum hinweist."
Sphere Space Human Way,Sphärenraum Menschlicher Weg,"Ein Name, der auf 'Menschlicher Weg' im Sphärenraum hinweist."
Sphere Space Balanced Arcades,Sphärenraum Ausgeglichene Arkaden,"Ein Name, der auf 'Ausgeglichene Arkaden' im Sphärenraum hinweist."
Sphere Space Skylines Foundation,Sphärenraum Skylines Foundation,"Ein Name, der auf 'Skylines Foundation' im Sphärenraum hinweist."
Sphere Space Steady Dock,Sphärenraum Stetiger Dock,"Ein Name, der auf 'Stetiger Dock' im Sphärenraum hinweist."
Sphere Space Solar Fellowships,Sphärenraum Solar Fellowships,"Ein Name, der auf 'Solar Fellowships' im Sphärenraum hinweist."
Sphere Space Lasting Station,Sphärenraum Dauerhafte Station,"Ein Name, der auf 'Dauerhafte Station' im Sphärenraum hinweist."
Sphere Space Archive,Sphärenraum Archiv,"Ein Name, der auf 'Archiv' im Sphärenraum hinweist."
Sphere Space Prime Seafront,Sphärenraum Erstklassige Küste,"Ein Name, der auf 'Erstklassige Küste' im Sphärenraum hinweist."
Sphere Space Global Library,Sphärenraum Globale Bibliothek,"Ein Name, der auf 'Globale Bibliothek' im Sphärenraum hinweist."
Sphere Space Perennial Boulevard,Sphärenraum Mehrjähriger Boulevard,"Ein Name, der auf 'Mehrjähriger Boulevard' im Sphärenraum hinweist."
Sphere Space Humane Union,Sphärenraum Humane Vereinigung,"Ein Name, der auf 'Humane Vereinigung' im Sphärenraum hinweist."
Sphere Space Steady Home,Sphärenraum Stetiges Zuhause,"Ein Name, der auf 'Stetiges Zuhause' im Sphärenraum hinweist."
Sphere Space Deep Projects,Sphärenraum Tiefe Projekte,"Ein Name, der auf 'Tiefe Projekte' im Sphärenraum hinweist."
Sphere Space Orbital Boulevard,Sphärenraum Orbital Boulevard,"Ein Name, der auf 'Orbital Boulevard' im Sphärenraum hinweist."
Sphere Space True Sky,Sphärenraum Wahrer Himmel,"Ein Name, der auf 'Wahrer Himmel' im Sphärenraum hinweist."
Sphere Space Earth Anchors,Sphärenraum Erdanker,"Ein Name, der auf 'Erdanker' im Sphärenraum hinweist."
Sphere Space Quiet Passage,Sphärenraum Ruhige Passage,"Ein Name, der auf 'Ruhige Passage' im Sphärenraum hinweist."
Sphere Space Arcades Trust,Sphärenraum Arcades Trust,"Ein Name, der auf 'Arcades Trust' im Sphärenraum hinweist."
Sphere Space Human Lane,Sphärenraum Menschliche Spur,"Ein Name, der auf 'Menschliche Spur' im Sphärenraum hinweist."
Sphere Space Civic Port,Sphärenraum Bürgerhafen,"Ein Name, der auf 'Bürgerhafen' im Sphärenraum hinweist."
Sphere Space Green Basecamps,Sphärenraum Grüne Basiscamps,"Ein Name, der auf 'Grüne Basiscamps' im Sphärenraum hinweist."
Sphere Space Universal Hospital,Sphärenraum Universal Hospital,"Ein Name, der auf 'Universal Hospital' im Sphärenraum hinweist."
Sphere Space Free Manifests,Sphärenraum Freie Manifests,"Ein Name, der auf 'Freie Manifests' im Sphärenraum hinweist."
Sphere Space Public Sphere,Sphärenraum Öffentliche Sphäre,"Ein Name, der auf 'Öffentliche Sphäre' im Sphärenraum hinweist."
Sphere Space Horizons Foundation,Sphärenraum Horizons Foundation,"Ein Name, der auf 'Horizons Foundation' im Sphärenraum hinweist."
Sphere Space Steady Forges,Sphärenraum Stetige Schmieden,"Ein Name, der auf 'Stetige Schmieden' im Sphärenraum hinweist."
Sphere Space Safe Clinics,Sphärenraum Sichere Kliniken,"Ein Name, der auf 'Sichere Kliniken' im Sphärenraum hinweist."
Sphere Space Eternal World,Sphärenraum Ewige Welt,"Ein Name, der auf 'Ewige Welt' im Sphärenraum hinweist."
Sphere Space Orbital Sanctuary,Sphärenraum Orbital Sanctuary,"Ein Name, der auf 'Orbital Sanctuary' im Sphärenraum hinweist."
Sphere Space Harmonic Clinic,Sphärenraum Harmonische Klinik,"Ein Name, der auf 'Harmonische Klinik' im Sphärenraum hinweist."
Sphere Space Safe Factories,Sphärenraum Sichere Fabriken,"Ein Name, der auf 'Sichere Fabriken' im Sphärenraum hinweist."
Sphere Space Secure Hall,Sphärenraum Sichere Halle,"Ein Name, der auf 'Sichere Halle' im Sphärenraum hinweist."
Sphere Space True Skyline,Sphärenraum Wahre Skyline,"Ein Name, der auf 'Wahre Skyline' im Sphärenraum hinweist."
Sphere Space Prime Forums,Sphärenraum Erstklassige Foren,"Ein Name, der auf 'Erstklassige Foren' im Sphärenraum hinweist."
Sphere Space Green Nexus,Sphärenraum Grüner Nexus,"Ein Name, der auf 'Grüner Nexus' im Sphärenraum hinweist."
Sphere Space Arcades Initiative,Sphärenraum Arcades Initiative,"Ein Name, der auf 'Arcades Initiative' im Sphärenraum hinweist."
Sphere Space Free Standards,Sphärenraum Freie Standards,"Ein Name, der auf 'Freie Standards' im Sphärenraum hinweist."
Sphere Space Planets Initiative,Sphärenraum Planets Initiative,"Ein Name, der auf 'Planets Initiative' im Sphärenraum hinweist."
Sphere Space Gateways Trust,Sphärenraum Gateways Trust,"Ein Name, der auf 'Gateways Trust' im Sphärenraum hinweist."
Sphere Space Interorbital Journey,Sphärenraum Interorbitale Reise,"Ein Name, der auf 'Interorbitale Reise' im Sphärenraum hinweist."
Sphere Space Earth Arcades,Sphärenraum Erde Arkaden,"Ein Name, der auf 'Erde Arkaden' im Sphärenraum hinweist."
Sphere Space Stellar Forum,Sphärenraum Sternforum,"Ein Name, der auf 'Sternforum' im Sphärenraum hinweist."
Sphere Space Laboratory,Sphärenraum Labor,"Ein Name, der auf 'Labor' im Sphärenraum hinweist."
Sphere Space Operas Network,Sphärenraum Opernetzwerk,"Ein Name, der auf 'Opernetzwerk' im Sphärenraum hinweist."
Sphere Space Earth Civics,Sphärenraum Erde Civics,"Ein Name, der auf 'Erde Civics' im Sphärenraum hinweist."
Sphere Space Playbook,Sphärenraum Spielbuch,"Ein Name, der auf 'Spielbuch' im Sphärenraum hinweist."
Sphere Space Deep Park,Sphärenraum Deep Park,"Ein Name, der auf 'Deep Park' im Sphärenraum hinweist."
Sphere Space Safe Civic,Sphärenraum Sicherer Bürger,"Ein Name, der auf 'Sicherer Bürger' im Sphärenraum hinweist."
Sphere Space Human Hangar,Sphärenraum Menschlicher Hangar,"Ein Name, der auf 'Menschlicher Hangar' im Sphärenraum hinweist."
Sphere Space Universal Revival,Sphärenraum Universelle Wiederbelebung,"Ein Name, der auf 'Universelle Wiederbelebung' im Sphärenraum hinweist."
Sphere Space Silver Journey,Sphärenraum Silberne Reise,"Ein Name, der auf 'Silberne Reise' im Sphärenraum hinweist."
Sphere Space United Cities,Sphärenraum Vereinigte Städte,"Ein Name, der auf 'Vereinigte Städte' im Sphärenraum hinweist."
Sphere Space Resilient Campus,Sphärenraum Widerstandsfähiger Campus,"Ein Name, der auf 'Widerstandsfähiger Campus' im Sphärenraum hinweist."
Sphere Space Open Habitat,Sphärenraum Offener Lebensraum,"Ein Name, der auf 'Offener Lebensraum' im Sphärenraum hinweist."
Sphere Space Resilient Orbit,Sphärenraum Widerstandsfähige Umlaufbahn,"Ein Name, der auf 'Widerstandsfähige Umlaufbahn' im Sphärenraum hinweist."
Sphere Space Civil Anchorpoint,Sphärenraum Bürgerlicher Ankerpunkt,"Ein Name, der auf 'Bürgerlicher Ankerpunkt' im Sphärenraum hinweist."
Sphere Space Schools Trust,Sphärenraum Schulen vertrauen,"Ein Name, der auf 'Schulen vertrauen' im Sphärenraum hinweist."
Sphere Space United Harborline,Sphärenraum Harborline United,"Ein Name, der auf 'Harborline United' im Sphärenraum hinweist."
Sphere Space Solar Starlight,Sphärenraum Solar Starlight,"Ein Name, der auf 'Solar Starlight' im Sphärenraum hinweist."
Sphere Space Human Heritage,Sphärenraum Menschliches Erbe,"Ein Name, der auf 'Menschliches Erbe' im Sphärenraum hinweist."
Sphere Space Pure Voyages,Sphärenraum Reine Reisen,"Ein Name, der auf 'Reine Reisen' im Sphärenraum hinweist."
Sphere Space Frontier Jetty,Sphärenraum Frontier -Steg,"Ein Name, der auf 'Frontier -Steg' im Sphärenraum hinweist."
Sphere Space Prime Hospital,Sphärenraum Prime Hospital,"Ein Name, der auf 'Prime Hospital' im Sphärenraum hinweist."
Sphere Space Golden Basecamp,Sphärenraum Goldener Basiscamp,"Ein Name, der auf 'Goldener Basiscamp' im Sphärenraum hinweist."
Sphere Space Eternal Archive,Sphärenraum Ewiges Archiv,"Ein Name, der auf 'Ewiges Archiv' im Sphärenraum hinweist."
Sphere Space Deep Hangar,Sphärenraum Tiefer Hangar,"Ein Name, der auf 'Tiefer Hangar' im Sphärenraum hinweist."
Sphere Space Free Beacon,Sphärenraum Kostenloses Leuchtfeuer,"Ein Name, der auf 'Kostenloses Leuchtfeuer' im Sphärenraum hinweist."
Sphere Space Steady Networks,Sphärenraum Stetige Netzwerke,"Ein Name, der auf 'Stetige Netzwerke' im Sphärenraum hinweist."
Sphere Space Human Museum,Sphärenraum Menschliches Museum,"Ein Name, der auf 'Menschliches Museum' im Sphärenraum hinweist."
Sphere Space Pioneer Concourse,Sphärenraum Pionierhalle,"Ein Name, der auf 'Pionierhalle' im Sphärenraum hinweist."
Sphere Space Prime Lab,Sphärenraum Hauptlabor,"Ein Name, der auf 'Hauptlabor' im Sphärenraum hinweist."
Sphere Space Resilient Commons,Sphärenraum Widerstandsfähige Commons,"Ein Name, der auf 'Widerstandsfähige Commons' im Sphärenraum hinweist."
Sphere Space Harmonic Shipyard,Sphärenraum Harmonische Werft,"Ein Name, der auf 'Harmonische Werft' im Sphärenraum hinweist."
Sphere Space Living Harbors,Sphärenraum Lebende Häfen,"Ein Name, der auf 'Lebende Häfen' im Sphärenraum hinweist."
Sphere Space Human Crests,Sphärenraum Menschliche Wappen,"Ein Name, der auf 'Menschliche Wappen' im Sphärenraum hinweist."
Sphere Space Villages Standards,Sphärenraum Dörfer Standards,"Ein Name, der auf 'Dörfer Standards' im Sphärenraum hinweist."
Sphere Space Halls Program,Sphärenraum Hallenprogramm,"Ein Name, der auf 'Hallenprogramm' im Sphärenraum hinweist."
Sphere Space Golden Signals,Sphärenraum Goldene Signale,"Ein Name, der auf 'Goldene Signale' im Sphärenraum hinweist."
Sphere Space Interorbital Venture,Sphärenraum Interorbitales Unternehmen,"Ein Name, der auf 'Interorbitales Unternehmen' im Sphärenraum hinweist."
Sphere Space Timeless Operas,Sphärenraum Zeitlose Opern,"Ein Name, der auf 'Zeitlose Opern' im Sphärenraum hinweist."
Sphere Space Stellar Manifests,Sphärenraum Stellar manifestiert sich,"Ein Name, der auf 'Stellar manifestiert sich' im Sphärenraum hinweist."
Sphere Space Crest Standards,Sphärenraum Wappenstandards,"Ein Name, der auf 'Wappenstandards' im Sphärenraum hinweist."
Sphere Space Quiet Seafronts,Sphärenraum Ruhige Küsten,"Ein Name, der auf 'Ruhige Küsten' im Sphärenraum hinweist."
Sphere Space Humane Colony,Sphärenraum Humane Kolonie,"Ein Name, der auf 'Humane Kolonie' im Sphärenraum hinweist."
Sphere Space Blue Basecamps,Sphärenraum Blaue Basiscamps,"Ein Name, der auf 'Blaue Basiscamps' im Sphärenraum hinweist."
Sphere Space Market Standards,Sphärenraum Marktstandards,"Ein Name, der auf 'Marktstandards' im Sphärenraum hinweist."
Sphere Space Human Yards,Sphärenraum Menschliche Höfe,"Ein Name, der auf 'Menschliche Höfe' im Sphärenraum hinweist."
Sphere Space Eternal Forum,Sphärenraum Eternal Forum,"Ein Name, der auf 'Eternal Forum' im Sphärenraum hinweist."
Sphere Space Fellowships Council,Sphärenraum Stipendienrat,"Ein Name, der auf 'Stipendienrat' im Sphärenraum hinweist."
Sphere Space Harmonic Journey,Sphärenraum Harmonische Reise,"Ein Name, der auf 'Harmonische Reise' im Sphärenraum hinweist."
Sphere Space Calm Refuges,Sphärenraum Ruhige Schweigen,"Ein Name, der auf 'Ruhige Schweigen' im Sphärenraum hinweist."
Sphere Space Ring Foundation,Sphärenraum Ringstiftung,"Ein Name, der auf 'Ringstiftung' im Sphärenraum hinweist."
Sphere Space Free Manifest,Sphärenraum Freies Manifest,"Ein Name, der auf 'Freies Manifest' im Sphärenraum hinweist."
Sphere Space New Pioneers,Sphärenraum Neue Pioniere,"Ein Name, der auf 'Neue Pioniere' im Sphärenraum hinweist."
Sphere Space Timeless Stations,Sphärenraum Zeitlose Stationen,"Ein Name, der auf 'Zeitlose Stationen' im Sphärenraum hinweist."
Sphere Space Living Nursery,Sphärenraum Lebender Kindergarten,"Ein Name, der auf 'Lebender Kindergarten' im Sphärenraum hinweist."
Sphere Space Blue Harborworks,Sphärenraum Blue Harborworks,"Ein Name, der auf 'Blue Harborworks' im Sphärenraum hinweist."
Sphere Space Blue Nurseries,Sphärenraum Blaue Kindergärten,"Ein Name, der auf 'Blaue Kindergärten' im Sphärenraum hinweist."
Sphere Space Perennial Suns,Sphärenraum Mehrjährige Sonnen,"Ein Name, der auf 'Mehrjährige Sonnen' im Sphärenraum hinweist."
Sphere Space Dock Standards,Sphärenraum Dock -Standards,"Ein Name, der auf 'Dock -Standards' im Sphärenraum hinweist."
Sphere Space Stellar Colonies,Sphärenraum Sternkolonien,"Ein Name, der auf 'Sternkolonien' im Sphärenraum hinweist."
Sphere Space Harmonic Continuum,Sphärenraum Harmonisches Kontinuum,"Ein Name, der auf 'Harmonisches Kontinuum' im Sphärenraum hinweist."
Sphere Space Pure Sanctuary,Sphärenraum Reines Heiligtum,"Ein Name, der auf 'Reines Heiligtum' im Sphärenraum hinweist."
Sphere Space Resilient Skyline,Sphärenraum Resilient Skyline,"Ein Name, der auf 'Resilient Skyline' im Sphärenraum hinweist."
Sphere Space Calm Hangar,Sphärenraum Ruhiger Hangar,"Ein Name, der auf 'Ruhiger Hangar' im Sphärenraum hinweist."
Sphere Space Solar Anchorpoints,Sphärenraum Solar -Anchorpoints,"Ein Name, der auf 'Solar -Anchorpoints' im Sphärenraum hinweist."
Sphere Space Arboretum Standards,Sphärenraum Arboretum Standards,"Ein Name, der auf 'Arboretum Standards' im Sphärenraum hinweist."
Sphere Space Interorbital Corridors,Sphärenraum Interorbitale Korridore,"Ein Name, der auf 'Interorbitale Korridore' im Sphärenraum hinweist."
Sphere Space Human Halls,Sphärenraum Menschliche Hallen,"Ein Name, der auf 'Menschliche Hallen' im Sphärenraum hinweist."
Sphere Space Renewal Commons,Sphärenraum Erneuerungskommons,"Ein Name, der auf 'Erneuerungskommons' im Sphärenraum hinweist."
Sphere Space Silver Crest,Sphärenraum Silberkamm,"Ein Name, der auf 'Silberkamm' im Sphärenraum hinweist."
Sphere Space Free Forums,Sphärenraum Kostenlose Foren,"Ein Name, der auf 'Kostenlose Foren' im Sphärenraum hinweist."
Sphere Space Laboratories Initiative,Sphärenraum Labors -Initiative,"Ein Name, der auf 'Labors -Initiative' im Sphärenraum hinweist."
Sphere Space Pure Museum,Sphärenraum Reines Museum,"Ein Name, der auf 'Reines Museum' im Sphärenraum hinweist."
Sphere Space Open Lighthouses,Sphärenraum Offene Leuchttürme,"Ein Name, der auf 'Offene Leuchttürme' im Sphärenraum hinweist."
Sphere Space Prime Protocols,Sphärenraum Hauptprotokolle,"Ein Name, der auf 'Hauptprotokolle' im Sphärenraum hinweist."
Sphere Space Public Ports,Sphärenraum Öffentliche Häfen,"Ein Name, der auf 'Öffentliche Häfen' im Sphärenraum hinweist."
Sphere Space Steady Cooperative,Sphärenraum Beste Genossenschaft,"Ein Name, der auf 'Beste Genossenschaft' im Sphärenraum hinweist."
Sphere Space Universal Coast,Sphärenraum Universelle Küste,"Ein Name, der auf 'Universelle Küste' im Sphärenraum hinweist."
Sphere Space Next Harborlines,Sphärenraum Nächste Hafenlinien,"Ein Name, der auf 'Nächste Hafenlinien' im Sphärenraum hinweist."
Sphere Space Earthborn Bridges,Sphärenraum Erdgeborene Brücken,"Ein Name, der auf 'Erdgeborene Brücken' im Sphärenraum hinweist."
Sphere Space Trust Network,Sphärenraum Vertrauensnetzwerk,"Ein Name, der auf 'Vertrauensnetzwerk' im Sphärenraum hinweist."
Sphere Space Beacon Alliance,Sphärenraum Beacon Alliance,"Ein Name, der auf 'Beacon Alliance' im Sphärenraum hinweist."
Sphere Space Orbital Lane,Sphärenraum Orbitalspur,"Ein Name, der auf 'Orbitalspur' im Sphärenraum hinweist."
Sphere Space Humane Summits,Sphärenraum Humane Gipfel,"Ein Name, der auf 'Humane Gipfel' im Sphärenraum hinweist."
Sphere Space Highway,Sphärenraum Autobahn,"Ein Name, der auf 'Autobahn' im Sphärenraum hinweist."
Sphere Space Prime Gallery,Sphärenraum Prime Gallery,"Ein Name, der auf 'Prime Gallery' im Sphärenraum hinweist."
Sphere Space Timeless Mesh,Sphärenraum Zeitloses Netz,"Ein Name, der auf 'Zeitloses Netz' im Sphärenraum hinweist."
Sphere Space Resilient Shores,Sphärenraum Widerstandsfähige Ufer,"Ein Name, der auf 'Widerstandsfähige Ufer' im Sphärenraum hinweist."
Sphere Space Golden Harborworks,Sphärenraum Golden Harborworks,"Ein Name, der auf 'Golden Harborworks' im Sphärenraum hinweist."
Sphere Space Earth Quay,Sphärenraum Erdkai,"Ein Name, der auf 'Erdkai' im Sphärenraum hinweist."
Sphere Space Universal Hub,Sphärenraum Universal Hub,"Ein Name, der auf 'Universal Hub' im Sphärenraum hinweist."
Sphere Space Prime Odyssey,Sphärenraum Erstklassige Odyssee,"Ein Name, der auf 'Erstklassige Odyssee' im Sphärenraum hinweist."
Sphere Space Global Agora,Sphärenraum Global Agora,"Ein Name, der auf 'Global Agora' im Sphärenraum hinweist."
Sphere Space Green Journeys,Sphärenraum Grüne Reisen,"Ein Name, der auf 'Grüne Reisen' im Sphärenraum hinweist."
Sphere Space Lasting Journeys,Sphärenraum Dauerhafte Reisen,"Ein Name, der auf 'Dauerhafte Reisen' im Sphärenraum hinweist."
Sphere Space Timeless Hospital,Sphärenraum Zeitloses Krankenhaus,"Ein Name, der auf 'Zeitloses Krankenhaus' im Sphärenraum hinweist."
Sphere Space Stellar Courts,Sphärenraum Sterngerichte,"Ein Name, der auf 'Sterngerichte' im Sphärenraum hinweist."
Sphere Space Eternal Enterprises,Sphärenraum Ewige Unternehmen,"Ein Name, der auf 'Ewige Unternehmen' im Sphärenraum hinweist."
Sphere Space Avenues Trust,Sphärenraum Avenues Trust,"Ein Name, der auf 'Avenues Trust' im Sphärenraum hinweist."
Sphere Space Living Initiatives,Sphärenraum Lebende Initiativen,"Ein Name, der auf 'Lebende Initiativen' im Sphärenraum hinweist."
Sphere Space Human Gateway,Sphärenraum Menschliches Tor,"Ein Name, der auf 'Menschliches Tor' im Sphärenraum hinweist."
Sphere Space Humane Galleries,Sphärenraum Humane Galerien,"Ein Name, der auf 'Humane Galerien' im Sphärenraum hinweist."
Sphere Space Balanced Museums,Sphärenraum Ausgeglichene Museen,"Ein Name, der auf 'Ausgeglichene Museen' im Sphärenraum hinweist."
Sphere Space Civic Blueprint,Sphärenraum Civic Blueprint,"Ein Name, der auf 'Civic Blueprint' im Sphärenraum hinweist."
Sphere Space Human Factory,Sphärenraum Menschliche Fabrik,"Ein Name, der auf 'Menschliche Fabrik' im Sphärenraum hinweist."
Sphere Space Earth Programs,Sphärenraum Erdprogramme,"Ein Name, der auf 'Erdprogramme' im Sphärenraum hinweist."
Sphere Space Terran Playbooks,Sphärenraum Terranische Spielbücher,"Ein Name, der auf 'Terranische Spielbücher' im Sphärenraum hinweist."
Sphere Space Silver Ways,Sphärenraum Silberne Wege,"Ein Name, der auf 'Silberne Wege' im Sphärenraum hinweist."
Sphere Space Secure Grids,Sphärenraum Sicherungsgitter,"Ein Name, der auf 'Sicherungsgitter' im Sphärenraum hinweist."
Sphere Space Skylines Initiative,Sphärenraum Skylines -Initiative,"Ein Name, der auf 'Skylines -Initiative' im Sphärenraum hinweist."
Sphere Space Universal District,Sphärenraum Universal District,"Ein Name, der auf 'Universal District' im Sphärenraum hinweist."
Sphere Space Harmonic Forges,Sphärenraum Harmonische Schmieden,"Ein Name, der auf 'Harmonische Schmieden' im Sphärenraum hinweist."
Sphere Space Institutes Network,Sphärenraum Institutes Netzwerk,"Ein Name, der auf 'Institutes Netzwerk' im Sphärenraum hinweist."
Sphere Space Enduring Workshop,Sphärenraum Dauerhafter Workshop,"Ein Name, der auf 'Dauerhafter Workshop' im Sphärenraum hinweist."
Sphere Space Earth Agora,Sphärenraum Erde Agora,"Ein Name, der auf 'Erde Agora' im Sphärenraum hinweist."
Sphere Space Cooperatives Standards,Sphärenraum Genossenschaften Standards,"Ein Name, der auf 'Genossenschaften Standards' im Sphärenraum hinweist."
Sphere Space Human Concourses,Sphärenraum Menschliche Concours,"Ein Name, der auf 'Menschliche Concours' im Sphärenraum hinweist."
Sphere Space Steady Biospheres,Sphärenraum Stetige Biosphären,"Ein Name, der auf 'Stetige Biosphären' im Sphärenraum hinweist."
Sphere Space Free Yards,Sphärenraum Freie Werke,"Ein Name, der auf 'Freie Werke' im Sphärenraum hinweist."
Sphere Space Global Passages,Sphärenraum Globale Passagen,"Ein Name, der auf 'Globale Passagen' im Sphärenraum hinweist."
Sphere Space Timeless Skylines,Sphärenraum Zeitlose Skylines,"Ein Name, der auf 'Zeitlose Skylines' im Sphärenraum hinweist."
Sphere Space Programs Alliance,Sphärenraum Programme Allianz,"Ein Name, der auf 'Programme Allianz' im Sphärenraum hinweist."
Sphere Space Eternal Harbor,Sphärenraum Ewiger Hafen,"Ein Name, der auf 'Ewiger Hafen' im Sphärenraum hinweist."
Sphere Space Colony Standards,Sphärenraum Koloniestandards,"Ein Name, der auf 'Koloniestandards' im Sphärenraum hinweist."
Sphere Space Eternal Basecamps,Sphärenraum Ewige Basiscamps,"Ein Name, der auf 'Ewige Basiscamps' im Sphärenraum hinweist."
Sphere Space Next Square,Sphärenraum Nächstes Quadrat,"Ein Name, der auf 'Nächstes Quadrat' im Sphärenraum hinweist."
Sphere Space Prime Harbors,Sphärenraum Prime Harbors,"Ein Name, der auf 'Prime Harbors' im Sphärenraum hinweist."
Sphere Space Deep Arcs,Sphärenraum Tiefe Bögen,"Ein Name, der auf 'Tiefe Bögen' im Sphärenraum hinweist."
Sphere Space Timeless Halls,Sphärenraum Zeitlose Hallen,"Ein Name, der auf 'Zeitlose Hallen' im Sphärenraum hinweist."
Sphere Space Balanced Passage,Sphärenraum Ausgeglichener Durchgang,"Ein Name, der auf 'Ausgeglichener Durchgang' im Sphärenraum hinweist."
Sphere Space Human Plaza,Sphärenraum Human Plaza,"Ein Name, der auf 'Human Plaza' im Sphärenraum hinweist."
Sphere Space Pioneer Bazaar,Sphärenraum Pionierbasar,"Ein Name, der auf 'Pionierbasar' im Sphärenraum hinweist."
